"nmadb_id","id","id_old","id_mod","is.star","cor_ability_pscore","cor_ability_pbv","cor_ability_PReTA","cor_ability_pswd","cor_prbs_pscore","cor_prbs_pbv","cor_prbs_PReTA","cor_prbs_pswd","cor_pscore_pbv","cor_pscore_PReTA","cor_pscore_pswd","cor_pbv_PReTA","cor_pbv_pswd","cor_PReTA_pswd","tau","avg_var","range","nS_nT"
473269,1,1,1,FALSE,0.963117545311164,0.639510145026685,0.965870681792009,0.928577885447429,0.956852954037142,0.896260067087799,0.913751153730885,0.982291880233354,0.801018125207129,0.973787754613159,0.989945694901208,0.680195540660077,0.850219042452256,0.964014070035205,0.173830094915837,0.0240148078224431,0.737441355196235,587.2
473552,2,2,2,TRUE,0.882555721617416,0.468017543551727,0.80902022276975,0.839483620614543,0.89679608775281,0.866216907844632,0.873241308285582,0.914720227378597,0.730672273319908,0.982077331754099,0.995365848025362,0.705950761251327,0.784536683805989,0.984619128695298,0.822764365319045,0.464986415066604,0.797775187051687,2043.77777777778
474842,3,3,3,FALSE,0.947402503056641,0.615611526062981,0.933143732662107,0.85259462859959,0.931632745532508,0.911259213022958,0.939981371000449,0.974384402134273,0.806431913385093,0.995030720690957,0.969623707496443,0.801795923966738,0.921371941627159,0.970558917653892,0.108143323125833,0.0534716751172261,0.882363631648354,5773.625
476033,4,4,4,TRUE,0.961618502504928,0.792533335463398,0.850083456989952,0.9617031099239,0.787343327206405,0.998816848281523,0.717284030625114,0.915646249321401,0.761696251819726,0.96147884993359,0.966936497263595,0.69764008436988,0.89823356108438,0.90662674877392,0,0.029884886001585,0.798145111664627,3330.4
479531,5,5,5,FALSE,0.717517483583948,0.314147857390648,0.677981542898348,0.710245473152816,0.906752375644414,0.498187838919479,0.944695023211756,0.872792076706475,0.700407090646789,0.954101550534085,0.985882844206322,0.527257610029414,0.795889950965002,0.904061195671785,0.0267450409503719,0.00866743130893563,0.972179376711249,770.736842105263
479574,6,6,6,TRUE,0.988063964998695,0.793392849466946,0.927084862881804,0.986613534332331,0.735992700293073,0.936684313011922,0.695824232646193,0.742895293164845,0.763780082315783,0.962730851076945,0.998158554827578,0.730827909137039,0.763816755002042,0.972216305836378,0,0.313613049322992,0.976384104173022,920
479600,8,8,8,FALSE,0.937248310896583,0.564274637890986,0.863608126642914,0.924624504567632,0.624998075105575,0.98601569854419,0.50052791273115,0.688549448327605,0.658190031151744,0.973630965916736,0.996017615752135,0.537162807522422,0.722043059267641,0.958627988038277,0.532288053127055,0.257064436062856,0.878495381507196,1280.77777777778
479661,10,11,10,FALSE,0.972683686811701,0.771032253188139,0.999929594222168,0.992495532167065,0.972683686811701,0.771032253188138,0.999929594222168,0.992495532167065,0.889383242363246,0.975353695386385,0.993731751780294,0.77779195537746,0.839926253921857,0.993858164691215,0,0.0287132770135295,0.518595445564341,2471
479767,11,12,11,FALSE,0.935921753695292,0.882912362549592,0.861258262856526,0.954919795558119,0.725927369450014,0.999795308851731,0.702577512981446,0.94625253526615,0.728914978034484,0.969609102587994,0.902002982112677,0.708799616616948,0.948157409152722,0.892556412022768,0.123474991132712,0.0181002090155115,0.918265369235761,392.333333333333
479773,12,13,12,TRUE,0.945013503237409,0.842084780721932,0.882901158203579,0.924062220544914,0.913655325750445,0.971283226022241,0.879806941190636,0.942552419664075,0.936899216275231,0.984178322805062,0.992480258099883,0.927483226406069,0.970726165083526,0.974875369806956,0.0474040302945202,0.020236843775315,0.891116522165459,5853.4
