"nmadb_id","id","id_old","id_mod","is.star","treatment","tau","log_ability","se","lower","upper","prbs","P_score","pBV","PReTA","P_score_swd"
473269,1,1,1,FALSE,"1",0.173830094915837,-2.31623599758044,1.63220670870518,-5.51530236196725,0.882830366806366,0.0105883218512082,0.0426040902732503,0,9.48341224686899e-05,0.00256602836848255
473269,1,1,1,FALSE,"2",0.173830094915837,1.49927784668661,1.37640815722364,-1.19843256949888,4.19698826287209,0.480710648105578,0.938781246397267,0.783,0.998118866925185,0.569668304755563
473269,1,1,1,FALSE,"3",0.173830094915837,0.750044288750412,1.24116941518406,-1.68260306372299,3.18269164122382,0.227245735673349,0.657920488550975,0.108,0.87590602935517,0.355612414928272
473269,1,1,1,FALSE,"4",0.173830094915837,-0.683130426606987,1.24799192544846,-3.12914965348277,1.76288880026879,0.0542095586965159,0.331052942500782,0.044,0.25399463740539,0.111422847077932
473269,1,1,1,FALSE,"5",0.173830094915837,0.750044288750411,1.24116941518406,-1.68260306372299,3.18269164122382,0.227245735673349,0.529641232277726,0.065,0.641935215572217,0.266995116231062
473552,2,2,2,TRUE,"1",0.822764365319045,-3.74178182271952,1.42927990991027,-6.5431189699703,-0.940444675468749,0.0015149342814204,0.032429707244031,0,5.93468607590353e-11,0.0127496008638638
473552,2,2,2,TRUE,"2",0.822764365319045,-0.79080762583218,1.24137553898085,-3.22385897352364,1.64224372185928,0.028972475433677,0.338799054279892,0.005,0.212248858519038,0.255324391859104
473552,2,2,2,TRUE,"3",0.822764365319045,0.759294303708394,1.25625943545244,-1.70292894501701,3.2215175524338,0.136516868514144,0.646706102056637,0.057,0.736250682196397,0.552316967576136
473552,2,2,2,TRUE,"4",0.822764365319045,1.54197332010465,1.29845494252022,-1.002951602783,4.0868982429923,0.298606663972108,0.903678578246352,0.661,0.959280762037131,0.855675366294346
473552,2,2,2,TRUE,"5",0.822764365319045,0.759294303708394,1.25625943545244,-1.70292894501701,3.2215175524338,0.136516868514144,0.498202850512334,0.022,0.471086540508899,0.402655373776247
473552,2,2,2,TRUE,"6",0.822764365319045,-0.0232805431932593,1.23634874600342,-2.44647955769123,2.39991847130471,0.0624192261281094,0.378294738836309,0.013,0.283256038089369,0.291909183152191
473552,2,2,2,TRUE,"7",0.822764365319045,0.759294303708393,1.25625943545244,-1.70292894501701,3.2215175524338,0.136516868514144,0.525543444309269,0.038,0.521429959624418,0.433537596754413
473552,2,2,2,TRUE,"8",0.822764365319045,-0.0232805431932603,1.23634874600342,-2.44647955769123,2.39991847130471,0.0624192261281094,0.386012368445544,0.019,0.300955788017395,0.299646601788104
473552,2,2,2,TRUE,"9",0.822764365319045,0.759294303708394,1.25625943545244,-1.70292894501701,3.2215175524338,0.136516868514144,0.790333156069631,0.185,0.927292548358822,0.710524048970115
474842,3,3,3,FALSE,"1",0.108143323125833,-3.77901213795289,1.5607104473072,-6.83794840497039,-0.720075870935378,0.00138670759539799,0.0593828433214928,0,0.000446517699651141,0.00686367859216391
474842,3,3,3,FALSE,"2",0.108143323125833,0.743675727790754,1.22486789556343,-1.65702123333293,3.14437268891444,0.127691879021787,0.517611379637312,0.002,0.563059261913103,0.219109158460417
474842,3,3,3,FALSE,"3",0.108143323125833,0.743675727790753,1.22486789556343,-1.65702123333293,3.14437268891444,0.127691879021787,0.642136257515162,0.131,0.712260281150973,0.33901488941904
474842,3,3,3,FALSE,"4",0.108143323125833,0.743675727790754,1.22486789556343,-1.65702123333293,3.14437268891444,0.127691879021787,0.52714568217262,0.062,0.536217586696894,0.241312287739964
474842,3,3,3,FALSE,"5",0.108143323125833,-1.44400763023351,1.26207546686382,-3.91763009105817,1.02961483059116,0.0143240051088658,0.312315993265959,0.024,0.228467749858564,0.105167316102695
474842,3,3,3,FALSE,"6",0.108143323125833,0.00663105968371858,1.20228935030406,-2.3498127659083,2.36307488527574,0.0611038880719296,0.386822004165884,0.036,0.337798738798661,0.153651323216226
474842,3,3,3,FALSE,"7",0.108143323125833,1.49268076256521,1.285390955421,-1.02663921611348,4.01200074124389,0.270054881079222,0.787019538464755,0.367,0.866476808592148,0.510987502078006
474842,3,3,3,FALSE,"8",0.108143323125833,1.49268076256521,1.285390955421,-1.02663921611348,4.01200074124389,0.270054881079222,0.767566301456815,0.378,0.842628401325934,0.491549168849519
476033,4,4,4,TRUE,"1",0,-2.92887943396798,1.94430325945676,-6.73964379752706,0.881884929591092,0.00245663793979308,6.77217588150437e-05,0,7.77411865144195e-28,5.27068362010663e-07
476033,4,4,4,TRUE,"2",0,2.92888370810678,1.94430640952174,-0.881886829466226,6.73965424567978,0.859677110726427,0.997216659188791,0.99,0.999999996069886,0.973469521513204
476033,4,4,4,TRUE,"3",0,-1.42471293183843e-06,1.18303543386985,-2.31870826753256,2.3187054181067,0.0459554171112598,0.607356408863452,0.01,0.697951728521423,0.420378741190686
476033,4,4,4,TRUE,"4",0,-1.42471293185231e-06,1.18303543386985,-2.31870826753256,2.3187054181067,0.0459554171112598,0.556017587237239,0,0.602728805896596,0.349546645755506
476033,4,4,4,TRUE,"5",0,-1.42471293151925e-06,1.18303543386985,-2.31870826753256,2.3187054181067,0.0459554171112598,0.339341622951703,0,0.121339494218685,0.256885365202943
479531,5,5,5,FALSE,"1",0.0267450409503719,-5.76674543124289,1.0514370122696,-7.8275241073037,-3.70596675518208,7.28018653457872e-05,0.0808961615746371,0,0.0153863347839255,0.00340796458201267
